UID          PID    PPID  C STIME TTY          TIME CMD
bansikah    2841    2464  0 08:04 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
bansikah    2865    2464  0 08:04 ?        00:00:00 sh -c /usr/bin/ibus-daemon --panel disable $([ "$XDG_SESSION_TYPE" = "x11" ] && echo "--xim")
bansikah    2866    2464  0 08:04 ?        00:00:00 /usr/libexec/gsd-a11y-settings
bansikah    2867    2464  0 08:04 ?        00:00:03 /usr/libexec/gsd-color
bansikah    2871    2865  0 08:04 ?        00:00:04 /usr/bin/ibus-daemon --panel disable
bansikah    2872    2464  0 08:04 ?        00:00:00 /usr/libexec/gsd-datetime
bansikah    2875    2464  0 08:04 ?        00:00:02 /usr/libexec/gsd-housekeeping
bansikah    2880    2464  0 08:04 ?        00:00:00 /usr/libexec/gsd-keyboard
bansikah    2888    2464  0 08:04 ?        00:00:01 /usr/libexec/gsd-media-keys
bansikah    2889    2464  0 08:04 ?        00:00:01 /usr/libexec/gsd-power
bansikah    2890    2464  0 08:04 ?        00:00:00 /usr/libexec/gsd-print-notifications
bansikah    2892    2464  0 08:04 ?        00:00:00 /usr/libexec/gsd-rfkill
bansikah    2894    2464  0 08:04 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
bansikah    2896    2464  0 08:04 ?        00:00:03 /usr/libexec/gsd-sharing
bansikah    2897    2464  0 08:04 ?        00:00:00 /usr/libexec/gsd-smartcard
bansikah    2900    2464  0 08:04 ?        00:00:00 /usr/libexec/gsd-sound
bansikah    2902    2464  0 08:04 ?        00:00:01 /usr/libexec/gsd-wacom
bansikah    2931    2641  0 08:04 ?        00:00:01 /usr/libexec/evolution-data-server/evolution-alarm-notify
bansikah    2933    2641  0 08:04 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
bansikah    2989    2464  0 08:04 ?        00:00:00 /usr/libexec/gsd-printer
bansikah    3008    2871  0 08:04 ?        00:00:00 /usr/libexec/ibus-memconf
bansikah    3012    2871  0 08:04 ?        00:00:07 /usr/libexec/ibus-extension-gtk3
bansikah    3016    2464  0 08:04 ?        00:00:00 /usr/libexec/ibus-portal
bansikah    3030    2464  0 08:04 ?        00:01:07 /snap/multipass/10244/bin/multipass.gui --autostarting
bansikah    3031    2464  0 08:04 ?        00:00:12 /snap/snap-store/959/usr/bin/snap-store --gapplication-service
bansikah    3056    2779  0 08:04 ?        00:00:00 /snap/snapd-desktop-integration/83/usr/bin/snapd-desktop-integration
bansikah    3077    2464  0 08:04 ?        00:00:02 /usr/libexec/xdg-desktop-portal
bansikah    3106    2464  0 08:04 ?        00:00:01 /usr/libexec/xdg-desktop-portal-gnome
bansikah    3111    2871  0 08:04 ?        00:00:01 /usr/libexec/ibus-engine-simple
bansikah    3197    2669  2 08:04 ?        00:05:34 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.MXX4C2 -listen 4 -listen 5 -displayfd 6 -initfd 7
bansikah    3236    2464  0 08:04 ?        00:00:03 /usr/libexec/tracker-miner-fs-3
bansikah    3268    2464  0 08:04 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.ScreenSaver
bansikah    3294    2464  0 08:04 ?        00:00:02 /usr/libexec/gsd-xsettings
bansikah    3296    2464  0 08:04 ?        00:00:01 /usr/libexec/xdg-desktop-portal-gtk
bansikah    3329    2464  0 08:04 ?        00:00:01 /usr/libexec/ibus-x11
bansikah    3433    2464  0 08:04 ?        00:00:00 /usr/libexec/gvfsd-metadata
bansikah    3482    2464  0 08:04 ?        00:00:00 /usr/libexec/glib-pacrunner
bansikah    3765    2669  1 08:05 ?        00:04:31 /usr/share/code/code --unity-launch
bansikah    3769    3765  0 08:05 ?        00:00:00 /usr/share/code/code --type=zygote --no-zygote-sandbox
bansikah    3770    3765  0 08:05 ?        00:00:00 /usr/share/code/code --type=zygote
bansikah    3772    3770  0 08:05 ?        00:00:00 /usr/share/code/code --type=zygote
bansikah    3786    2464  0 08:05 ?        00:00:00 /usr/share/code/chrome_crashpad_handler --monitor-self-annotation=ptype=crashpad-handler --no-rate-limit --database=/home/bansikah/.config/Code/Crashpad --url=appcenter://code?aid=fba07a4d-84bd-4fc8-a125-9640fc8ce171&uid=2ef5fb6b-4e39-4416-b2e2-a9fa518ca723&iid=2ef5fb6b-4e39-4416-b2e2-a9fa518ca723&sid=2ef5fb6b-4e39-4416-b2e2-a9fa518ca723 --annotation=_companyName=Microsoft --annotation=_productName=VSCode --annotation=_version=1.83.1 --annotation=lsb-release=Ubuntu 22.04.3 LTS --annotation=plat=Linux --annotation=prod=Electron --annotation=ver=25.8.4 --initial-client-fd=42 --shared-client-connection
bansikah    3800    3769  2 08:05 ?        00:06:57 /usr/share/code/code --type=gpu-process --crashpad-handler-pid=3786 --enable-crash-reporter=51976707-a2b7-4d7f-b62b-afd70f136b87,no_channel --user-data-dir=/home/bansikah/.config/Code --gpu-preferences=WAAAAAAAAAAgAAAEAAAAAAAAAAAAAAAAAABgAAAAAAA4AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABAAAAGAAAAAAAAAAYAAAAAAAAAAgAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --shared-files --field-trial-handle=0,i,10722525874375635433,6030438111023066001,262144 --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess
bansikah    3808    3765  0 08:05 ?        00:00:27 /usr/share/code/code --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --crashpad-handler-pid=3786 --enable-crash-reporter=51976707-a2b7-4d7f-b62b-afd70f136b87,no_channel --user-data-dir=/home/bansikah/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --streaming-schemes --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,10722525874375635433,6030438111023066001,262144 --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess
bansikah    3840    3772  3 08:05 ?        00:07:26 /usr/share/code/code --type=renderer --crashpad-handler-pid=3786 --enable-crash-reporter=51976707-a2b7-4d7f-b62b-afd70f136b87,no_channel --user-data-dir=/home/bansikah/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --streaming-schemes --app-path=/usr/share/code/resources/app --enable-sandbox --enable-blink-features=HighlightAPI --first-renderer-process --lang=en-US --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=4 --time-ticks-at-unix-epoch=-1698217339554050 --launch-time-ticks=164685139 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,10722525874375635433,6030438111023066001,262144 --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess --vscode-window-config=vscode:0d60acfe-550e-4a82-89c5-427af1e79f7f
bansikah    3848    3772  0 08:05 ?        00:01:24 /usr/share/code/code --type=renderer --crashpad-handler-pid=3786 --enable-crash-reporter=51976707-a2b7-4d7f-b62b-afd70f136b87,no_channel --user-data-dir=/home/bansikah/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --streaming-schemes --app-path=/usr/share/code/resources/app --enable-sandbox --enable-blink-features=HighlightAPI --lang=en-US --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=5 --time-ticks-at-unix-epoch=-1698217339554050 --launch-time-ticks=164804907 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,10722525874375635433,6030438111023066001,262144 --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess --vscode-window-config=vscode:16dad644-0b5c-4c82-859e-9f1803bc2024
